classifier,feature_set,n_components,balanced_accuracy,f1_macro,roc_auc_ovr
LogisticRegression,selected,2,0.5974847054105474,0.3237306971815198,0.8490898944714795
LogisticRegression,selected,3,0.7405719250117868,0.4508245292725166,0.9101368748538344
LogisticRegression,selected,4,0.7774843931797042,0.4871790222041465,0.9282660022742698
LogisticRegression,selected,5,0.778921551228793,0.4851441985949384,0.9287727702888328
LogisticRegression,selected,6,0.8029419245982521,0.5247123347397038,0.9292642893337192
LogisticRegression,selected,7,0.8003753998678033,0.5198292013825594,0.9292298694168072
LogisticRegression,selected,8,0.8055692553900151,0.5347462449399333,0.9353549571388996
LogisticRegression,selected,9,0.8015046256092473,0.5291309528002588,0.9357323641656564
LogisticRegression,selected,10,0.8009976471876799,0.5282244380669306,0.9357932587686388
LogisticRegression,selected,11,0.8008340247120656,0.526881036097623,0.9359951416697452
LogisticRegression,selected,12,0.798508680785527,0.5266122657203258,0.9354823550664404
LogisticRegression,selected,13,0.7994803035348325,0.5272404587491886,0.9360600991368312
LogisticRegression,selected,14,0.7978240781967635,0.5224839680575033,0.9357923713726242
LogisticRegression,selected,15,0.7959851135237777,0.521726917576145,0.9360526594123212
LogisticRegression,selected,16,0.7971932989722949,0.5201862464739376,0.9362146986993976
LogisticRegression,selected,17,0.7984263429812062,0.5227232765352534,0.9358603213964548
LogisticRegression,selected,18,0.7993655767241874,0.5231032682438427,0.9365090451109708
LogisticRegression,selected,19,0.7986406416744246,0.5243646079652804,0.9362926929597364
LogisticRegression,selected,20,0.7980764672375444,0.5215013148266077,0.9365736793060474
LogisticRegression,selected,21,0.7985312009177894,0.5229406990808034,0.9361077447664296
LogisticRegression,selected,22,0.8008202505313603,0.5247854007478762,0.9361281936834714
RandomForest,selected,2,0.6016479790030582,0.4867034424806791,0.8471827417215927
RandomForest,selected,3,0.6677825298704736,0.5994209381188854,0.9465354366779012
RandomForest,selected,4,0.7263057693952655,0.661126975432228,0.9776744955887076
RandomForest,selected,5,0.7338413272242945,0.6695431033879655,0.9781005773384648
RandomForest,selected,6,0.7300488776873219,0.6681021327899217,0.9786382038920444
RandomForest,selected,7,0.6699944830104876,0.6560034875617037,0.9787461446892166
RandomForest,selected,8,0.7459668351882327,0.7334310676196856,0.9858756493178036
RandomForest,selected,9,0.7500695750953994,0.7359884406602148,0.9849249977913792
RandomForest,selected,10,0.7363819477989917,0.7304068927549714,0.9844598128833268
RandomForest,selected,11,0.7315199296351891,0.7279173755698835,0.988256238532055
RandomForest,selected,12,0.725069886122982,0.7241232195503311,0.9853938794847824
RandomForest,selected,13,0.7289549480324643,0.7281647761536221,0.9863990093009776
RandomForest,selected,14,0.7201814715689558,0.7240247697816237,0.9881485542828904
RandomForest,selected,15,0.7164121079869099,0.7247212007142476,0.9865069726935436
RandomForest,selected,16,0.717268213168787,0.7224343610948465,0.9860170124286036
RandomForest,selected,17,0.7159942828162805,0.7230238496914977,0.9858224467548196
RandomForest,selected,18,0.7240524242886359,0.729311896601598,0.986962995512562
RandomForest,selected,19,0.7167303830418265,0.7269759248508489,0.987178021580992
RandomForest,selected,20,0.7211483019103524,0.729563108439804,0.9880338994043212
RandomForest,selected,21,0.7148506431891819,0.7253224879050666,0.9880670949647596
RandomForest,selected,22,0.7166362854029306,0.7275722658318224,0.9878228535473164
SVC,selected,2,0.6209041802668351,0.3236350910274742,0.8639717508122583
SVC,selected,3,0.5858059805158033,0.3596728624502975,0.8685648535072665
SVC,selected,4,0.7061457340791153,0.4300738941541919,0.9189766190405464
SVC,selected,5,0.6950447377210628,0.4175002632229058,0.9175923706069448
SVC,selected,6,0.6940300403341615,0.4164230128183894,0.916974013607422
SVC,selected,7,0.7023047537395725,0.425341261217029,0.9241949908538718
SVC,selected,8,0.701077993279745,0.4238868795222655,0.9235637591126666
SVC,selected,9,0.6995016670304574,0.4220568981134928,0.9231137479701051
SVC,selected,10,0.6981981947997896,0.419944821283693,0.9226464106543696
SVC,selected,11,0.6974884462145959,0.4182470922693274,0.922235606972348
SVC,selected,12,0.6969916962253826,0.4170677719762462,0.9219251275735936
SVC,selected,13,0.6969861780556095,0.4166794755434854,0.9216893837422888
SVC,selected,14,0.6968065114218478,0.4165062940584976,0.9214312667642922
SVC,selected,15,0.6973954165819455,0.4162297253969871,0.9211914401195136
SVC,selected,16,0.696758110518693,0.4149362362638547,0.9209968383181918
SVC,selected,17,0.69706056560052,0.4149720889247817,0.9208161846601352
SVC,selected,18,0.6968352453526061,0.4145434762733337,0.9206769367571118
SVC,selected,19,0.6958887544284764,0.4137303517219302,0.9205334935217148
SVC,selected,20,0.6954111071129505,0.4132617802548353,0.9204352008202186
SVC,selected,21,0.69529136653785,0.4127868467236267,0.9203369967204472
SVC,selected,22,0.6959662332309522,0.4134239883922298,0.9202417385736352
XGBoost,selected,2,0.4647613003388306,0.4581190112181213,0.8823688265819001
XGBoost,selected,3,0.5212713110758282,0.5331765439637052,0.9542281971297052
XGBoost,selected,4,0.593511566341249,0.6038021276398825,0.9808102596786809
XGBoost,selected,5,0.6070285831747813,0.6125776625118952,0.9819408127511252
XGBoost,selected,6,0.6012285265610302,0.6105151006425767,0.981884512811794
XGBoost,selected,7,0.6267854632625482,0.6439827468731145,0.9828143086619971
XGBoost,selected,8,0.6955393976776036,0.7038375799697776,0.9896555626603424
XGBoost,selected,9,0.7089455217726608,0.719636086681468,0.9903857188817966
XGBoost,selected,10,0.708593361702792,0.7199429558915981,0.9904374056602858
XGBoost,selected,11,0.7116942863994764,0.7223621663780608,0.9905986950609522
XGBoost,selected,12,0.7107229663903519,0.7197022731827986,0.9904197258209664
XGBoost,selected,13,0.7122593009239894,0.7215299367475934,0.9906288623696416
XGBoost,selected,14,0.7166208199750439,0.7269768699500064,0.990728358209241
XGBoost,selected,15,0.7147992313337155,0.7248185484121105,0.9906615831449646
XGBoost,selected,16,0.7184886491450649,0.7277185723237842,0.9908178403271026
XGBoost,selected,17,0.7197029052574533,0.7296517597185777,0.990860052082982
XGBoost,selected,18,0.7214899497905668,0.7305130390750805,0.9908497698767492
XGBoost,selected,19,0.7245593342425313,0.7341549212517998,0.9912192728898012
XGBoost,selected,20,0.7268630480504538,0.7356429888521923,0.9912923479550934
XGBoost,selected,21,0.7226683193618311,0.7339443114486914,0.991262450767499
XGBoost,selected,22,0.7266467918213583,0.7354823352135688,0.991238232438793
LogisticRegression,pca,2,0.6212634228366978,0.33772097996687794,0.8689287380507933
LogisticRegression,pca,3,0.6185164281517702,0.337552011371357,0.8711228570573141
LogisticRegression,pca,4,0.6712225450619196,0.381072607046909,0.8825860710504785
LogisticRegression,pca,5,0.6811602818609781,0.3887478812808221,0.8839217531787481
LogisticRegression,pca,6,0.6860201146057803,0.3925018046942446,0.8839353511033305
LogisticRegression,pca,7,0.691217451838902,0.40256294946837706,0.8888277133982536
LogisticRegression,pca,8,0.6936895694770434,0.4063012720471618,0.8890647735543231
LogisticRegression,pca,9,0.6883971957630035,0.40605374873540223,0.8900046107964995
LogisticRegression,pca,10,0.6900475064645767,0.41042787564066086,0.8875027648967976
LogisticRegression,pca,11,0.6882380520187781,0.40927820279976634,0.8878671884196091
LogisticRegression,pca,12,0.6880452578202683,0.40771094487036674,0.8873290624850785
LogisticRegression,pca,13,0.6920316310268916,0.40995190634396295,0.8901560212647117
LogisticRegression,pca,14,0.6966645012733119,0.41462081340227364,0.8935648860491596
LogisticRegression,pca,15,0.7066073335804951,0.42103583133400263,0.8975488327842758
LogisticRegression,pca,16,0.71299349688472,0.43058440262890735,0.902510753596329
LogisticRegression,pca,17,0.7404604263138002,0.45845973422184977,0.9168428953628952
LogisticRegression,pca,18,0.7465460318685948,0.46823956169087805,0.9216400245073686
LogisticRegression,pca,19,0.7489541259268101,0.473274333231709,0.9236277286481869
LogisticRegression,pca,20,0.7709924246921125,0.49907369988930217,0.9312645665664293
LogisticRegression,pca,21,0.7925643472711744,0.5289270499822782,0.9362338612817611
LogisticRegression,pca,22,0.7949269012801545,0.5327010515427479,0.9360798771344958
RandomForest,pca,2,0.37858290012364354,0.41628160678806747,0.8381496010838946
RandomForest,pca,3,0.4145185761820276,0.45496547956350286,0.8842972398187424
RandomForest,pca,4,0.4692924692531806,0.5153203959699184,0.92087396062289
RandomForest,pca,5,0.5030673949145784,0.5511963554719346,0.938346844937534
RandomForest,pca,6,0.49743854742984556,0.5510041177921676,0.9444830732011932
RandomForest,pca,7,0.4928921277591335,0.5462182615046377,0.9479587453955245
RandomForest,pca,8,0.49013696513759814,0.5454427295468203,0.9560353564801213
RandomForest,pca,9,0.5043042994369097,0.5590740142032092,0.9556890346141959
RandomForest,pca,10,0.4935371757407613,0.5471899569466487,0.9558212965265362
RandomForest,pca,11,0.5147276415053931,0.5700993135776925,0.9651812114823983
RandomForest,pca,12,0.5115851277013166,0.5679342512242908,0.9660761187238684
RandomForest,pca,13,0.50680138069295,0.5612870516355982,0.9641944626009386
RandomForest,pca,14,0.5080797804181048,0.5633854538283193,0.9638098718868562
RandomForest,pca,15,0.5027860966149886,0.5573547027550897,0.9638344136558018
RandomForest,pca,16,0.5095766373867411,0.564545223918216,0.9633536843100892
RandomForest,pca,17,0.5199942780510783,0.574526659798703,0.9654617007095967
RandomForest,pca,18,0.5189512967590227,0.5712302165390402,0.9676532632490147
RandomForest,pca,19,0.5192223401825741,0.5726291696635116,0.9674455929599022
RandomForest,pca,20,0.5173587583403936,0.5737876590877584,0.967822719468009
RandomForest,pca,21,0.523678242682787,0.5815492301402111,0.9707366488931475
RandomForest,pca,22,0.5164716042479889,0.5744012595130945,0.9713237765426757
SVC,pca,2,0.658628464159196,0.34951808288910335,0.8913550266813328
SVC,pca,3,0.6705008227172432,0.38822550621997454,0.904302452504923
SVC,pca,4,0.7002895150962927,0.43680374312044157,0.9200814908167885
SVC,pca,5,0.7126156763160852,0.4589584430080505,0.9265343813053715
SVC,pca,6,0.7220843527347356,0.47512519804420084,0.9304250918183579
SVC,pca,7,0.7306167340018715,0.49129393834099383,0.9340678808417527
SVC,pca,8,0.7304830809741323,0.49083140528301455,0.9335949990112538
SVC,pca,9,0.7276065066860541,0.488990191440534,0.9331609366317487
SVC,pca,10,0.7215639821239461,0.485844203549087,0.9327333033960222
SVC,pca,11,0.7302648087596496,0.49912649527536856,0.9401557866484008
SVC,pca,12,0.7287751716693975,0.4983074167668587,0.9412682636640021
SVC,pca,13,0.7330995802741984,0.499229986057191,0.9408226022906154
SVC,pca,14,0.7381130928700133,0.5049062336570923,0.9452326670924206
SVC,pca,15,0.7331667426368493,0.5056770384848924,0.9452465075096488
SVC,pca,16,0.7452077940075806,0.5189347082589599,0.9503192844473727
SVC,pca,17,0.7562643932361424,0.5295125353341971,0.9533792759566518
SVC,pca,18,0.7627989654310603,0.5381953910818967,0.9560995658828277
SVC,pca,19,0.7665268661492795,0.5410186575710896,0.957198811537318
SVC,pca,20,0.7719731795918896,0.5489373092094423,0.960166538065112
SVC,pca,21,0.8060057422139033,0.5891152725172892,0.9711341036786332
SVC,pca,22,0.8073122919576761,0.5911025134089444,0.971374843873918
XGBoost,pca,2,0.31643690927440593,0.3582085457520966,0.8600688773308705
XGBoost,pca,3,0.38736557079371603,0.43757319475807427,0.9037313009240417
XGBoost,pca,4,0.4452903469678017,0.4976770008005369,0.9296500923785491
XGBoost,pca,5,0.4934540435600686,0.5474542092479455,0.9439996219505382
XGBoost,pca,6,0.4902266141692494,0.5459948636493105,0.9459104246331739
XGBoost,pca,7,0.49956188708414506,0.5558440648149813,0.9497751911431591
XGBoost,pca,8,0.5059665926855617,0.5612853505347669,0.9588363306194226
XGBoost,pca,9,0.5173025381241572,0.5755940424648205,0.9602460718769634
XGBoost,pca,10,0.5178966263824437,0.5747756882680718,0.9605067647197446
XGBoost,pca,11,0.53962953754461,0.5970547936092396,0.9707361865001163
XGBoost,pca,12,0.5390100519327492,0.5927895297298232,0.9703313560869165
XGBoost,pca,13,0.5424215488309347,0.5963039327604054,0.9703979587551703
XGBoost,pca,14,0.548972983968775,0.6020107994517016,0.9708131045944342
XGBoost,pca,15,0.5468858309956962,0.6004329389533355,0.9704217130492168
XGBoost,pca,16,0.5471041942778551,0.5999165510335032,0.9704876112010723
XGBoost,pca,17,0.5543613481075584,0.6087374614548653,0.9720088072903502
XGBoost,pca,18,0.558518866297096,0.6101248939050019,0.9726782215672994
XGBoost,pca,19,0.5579619800392921,0.6108754392378726,0.9724051257103339
XGBoost,pca,20,0.5621441178851269,0.6141605511449323,0.9728596397233125
XGBoost,pca,21,0.5685245399935507,0.6190514719475191,0.9774672950655496
XGBoost,pca,22,0.5737200005983581,0.6215307573764901,0.9783587041027187
